---- Opened the serial port COM12 ----
# PQC Cortex-M0+ Benchmark Suite
# Platform: Raspberry Pi Pico (RP2040, ARM Cortex-M0+ @ 133MHz)
# RAM: 264 KB, Flash: 2 MB
# Runs per operation: 30
#
algorithm,operation,security_level,time_us,run_number
ML-DSA,sign,87,165273,15
ML-DSA,sign,87,479498,16
ML-DSA,sign,87,441179,17
ML-DSA,sign,87,430686,18
ML-DSA,sign,87,165248,19
ML-DSA,sign,87,284133,20
ML-DSA,sign,87,333046,21
ML-DSA,sign,87,863647,22
ML-DSA,sign,87,224739,23
ML-DSA,sign,87,165246,24
ML-DSA,sign,87,312011,25
ML-DSA,sign,87,283998,26
ML-DSA,sign,87,284098,27
ML-DSA,sign,87,165252,28
ML-DSA,sign,87,549380,29
ML-DSA,sign,87,165287,30
ML-DSA,sign,87,165268,31
ML-DSA,sign,87,500610,32
ML-DSA,sign,87,322436,33
ML-DSA,sign,87,224663,34
ML-DSA,sign,87,381827,35
ML-DSA,sign,87,224706,36
ML-DSA,sign,87,452574,37
ML-DSA,sign,87,322367,38
ML-DSA,sign,87,224635,39
ML-DSA,sign,87,332770,40
ML-DSA,sign,87,441258,41
ML-DSA,sign,87,500681,42
ML-DSA,sign,87,322529,43
ML-DSA,sign,87,165262,44
ML-DSA,sign,87,884801,45
ML-DSA,sign,87,273523,46
ML-DSA,sign,87,165253,47
ML-DSA,sign,87,214258,48
ML-DSA,sign,87,165281,49
ML-DSA,sign,87,224708,50
ML-DSA,sign,87,392191,51
ML-DSA,sign,87,273607,52
ML-DSA,sign,87,214126,53
ML-DSA,sign,87,332849,54
ML-DSA,sign,87,214183,55
ML-DSA,sign,87,224715,56
ML-DSA,sign,87,273431,57
ML-DSA,sign,87,284119,58
ML-DSA,sign,87,224712,59
ML-DSA,sign,87,214080,60
ML-DSA,sign,87,284045,61
ML-DSA,sign,87,273563,62
ML-DSA,sign,87,224676,63
ML-DSA,sign,87,214219,64
ML-DSA,sign,87,165259,65
ML-DSA,sign,87,343607,66
ML-DSA,sign,87,273412,67
ML-DSA,sign,87,322384,68
ML-DSA,sign,87,165252,69
ML-DSA,sign,87,381865,70
ML-DSA,sign,87,755861,71
ML-DSA,sign,87,224640,72
ML-DSA,sign,87,273553,73
ML-DSA,sign,87,224764,74
ML-DSA,sign,87,273647,75
ML-DSA,sign,87,165268,76
ML-DSA,sign,87,165292,77
ML-DSA,sign,87,371342,78
ML-DSA,sign,87,332844,79
ML-DSA,sign,87,165257,80
ML-DSA,sign,87,343612,81
ML-DSA,sign,87,420265,82
ML-DSA,sign,87,224643,83
ML-DSA,sign,87,468985,84
ML-DSA,sign,87,273497,85
ML-DSA,sign,87,224769,86
ML-DSA,sign,87,273604,87
ML-DSA,sign,87,570532,88
ML-DSA,sign,87,371419,89
ML-DSA,sign,87,451804,90
ML-DSA,sign,87,273682,91
ML-DSA,sign,87,392381,92
ML-DSA,sign,87,224672,93
ML-DSA,sign,87,381863,94
ML-DSA,sign,87,224760,95
ML-DSA,sign,87,165270,96
ML-DSA,sign,87,224639,97
ML-DSA,sign,87,224804,98
ML-DSA,sign,87,696206,99
ML-DSA,sign,87,776749,100
# SUMMARY ML-DSA sign 87: mean=315135 min=165246 max=982329 stddev=167696.9 cv=53.21% (n=100)
ML-DSA,verify,87,117772,1
ML-DSA,verify,87,117899,2
ML-DSA,verify,87,117850,3
ML-DSA,verify,87,117826,4
ML-DSA,verify,87,117849,5
ML-DSA,verify,87,117835,6
ML-DSA,verify,87,117829,7
ML-DSA,verify,87,117816,8
ML-DSA,verify,87,117836,9
ML-DSA,verify,87,117825,10
ML-DSA,verify,87,117841,11
ML-DSA,verify,87,117818,12
ML-DSA,verify,87,117837,13
ML-DSA,verify,87,117821,14
ML-DSA,verify,87,117831,15
ML-DSA,verify,87,117830,16
ML-DSA,verify,87,117824,17
ML-DSA,verify,87,117836,18
ML-DSA,verify,87,117829,19
ML-DSA,verify,87,117818,20
ML-DSA,verify,87,117836,21
ML-DSA,verify,87,117817,22
ML-DSA,verify,87,117836,23
